
> my-v0-project@0.1.0 import-csv /Users/jonathanguyen/truehome
> npx tsx scripts/import-from-csv.ts /Users/jonathanguyen/Downloads/texas-properties.csv

Schema Env Error: Error: EISDIR: illegal operation on a directory, read
[dotenv@17.2.3] injecting env (3) from .env.local -- tip: ⚙️  override existing env vars with { override: true }
Schema Env Error: Error: EISDIR: illegal operation on a directory, read
📂 Reading CSV file: /Users/jonathanguyen/Downloads/texas-properties.csv
   Processed 19000 rows... (18100 imported, 895 skipped, 0 errors)
   Processed 19097 rows... (18200 imported, 897 skipped, 0 errors)
   Processed 19197 rows... (18300 imported, 897 skipped, 0 errors)
   Processed 19300 rows... (18400 imported, 900 skipped, 0 errors)
   Processed 19403 rows... (18500 imported, 903 skipped, 0 errors)
   Processed 19506 rows... (18600 imported, 906 skipped, 0 errors)
   Processed 19606 rows... (18700 imported, 906 skipped, 0 errors)
   Processed 19707 rows... (18800 imported, 907 skipped, 0 errors)
   Processed 19840 rows... (18900 imported, 940 skipped, 0 errors)
   Processed 19972 rows... (19000 imported, 972 skipped, 0 errors)
   Processed 20000 rows... (19000 imported, 972 skipped, 0 errors)
   Processed 20075 rows... (19100 imported, 975 skipped, 0 errors)
   Processed 20176 rows... (19200 imported, 976 skipped, 0 errors)
   Processed 20276 rows... (19300 imported, 976 skipped, 0 errors)
   Processed 20376 rows... (19400 imported, 976 skipped, 0 errors)
   Processed 20480 rows... (19500 imported, 980 skipped, 0 errors)
   Processed 20582 rows... (19600 imported, 982 skipped, 0 errors)
   Processed 20682 rows... (19700 imported, 982 skipped, 0 errors)
   Processed 20783 rows... (19800 imported, 983 skipped, 0 errors)
   Processed 20885 rows... (19900 imported, 985 skipped, 0 errors)
   Processed 20985 rows... (20000 imported, 985 skipped, 0 errors)
   Processed 21000 rows... (20000 imported, 985 skipped, 0 errors)
   Processed 21085 rows... (20100 imported, 985 skipped, 0 errors)
   Processed 21189 rows... (20200 imported, 989 skipped, 0 errors)
   Processed 21299 rows... (20300 imported, 999 skipped, 0 errors)
   Processed 21400 rows... (20400 imported, 1000 skipped, 0 errors)
   Processed 21501 rows... (20500 imported, 1001 skipped, 0 errors)
   Processed 21604 rows... (20600 imported, 1004 skipped, 0 errors)
   Processed 21710 rows... (20700 imported, 1010 skipped, 0 errors)
   Processed 21810 rows... (20800 imported, 1010 skipped, 0 errors)
   Processed 21917 rows... (20900 imported, 1017 skipped, 0 errors)
   Processed 22000 rows... (20950 imported, 1017 skipped, 0 errors)
   Processed 22017 rows... (21000 imported, 1017 skipped, 0 errors)
   Processed 22117 rows... (21100 imported, 1017 skipped, 0 errors)
   Processed 22218 rows... (21200 imported, 1018 skipped, 0 errors)
   Processed 22318 rows... (21300 imported, 1018 skipped, 0 errors)
   Processed 22420 rows... (21400 imported, 1020 skipped, 0 errors)
   Processed 22525 rows... (21500 imported, 1025 skipped, 0 errors)
   Processed 22626 rows... (21600 imported, 1026 skipped, 0 errors)
   Processed 22727 rows... (21700 imported, 1027 skipped, 0 errors)
   Processed 22834 rows... (21800 imported, 1034 skipped, 0 errors)
   Processed 22940 rows... (21900 imported, 1040 skipped, 0 errors)
   Processed 23000 rows... (21900 imported, 1053 skipped, 0 errors)
   Processed 23054 rows... (22000 imported, 1054 skipped, 0 errors)
   Processed 23167 rows... (22100 imported, 1067 skipped, 0 errors)
   Processed 23274 rows... (22200 imported, 1074 skipped, 0 errors)
   Processed 23376 rows... (22300 imported, 1076 skipped, 0 errors)
   Processed 23476 rows... (22400 imported, 1076 skipped, 0 errors)
   Processed 23579 rows... (22500 imported, 1079 skipped, 0 errors)
   Processed 23680 rows... (22600 imported, 1080 skipped, 0 errors)
   Processed 23783 rows... (22700 imported, 1083 skipped, 0 errors)
   Processed 23886 rows... (22800 imported, 1086 skipped, 0 errors)
   Processed 23986 rows... (22900 imported, 1086 skipped, 0 errors)
   Processed 24000 rows... (22900 imported, 1086 skipped, 0 errors)
   Processed 24086 rows... (23000 imported, 1086 skipped, 0 errors)
   Processed 24190 rows... (23100 imported, 1090 skipped, 0 errors)
   Processed 24291 rows... (23200 imported, 1091 skipped, 0 errors)
   Processed 24395 rows... (23300 imported, 1095 skipped, 0 errors)
   Processed 24496 rows... (23400 imported, 1096 skipped, 0 errors)
   Processed 24596 rows... (23500 imported, 1096 skipped, 0 errors)
   Processed 24697 rows... (23600 imported, 1097 skipped, 0 errors)
   Processed 24801 rows... (23700 imported, 1101 skipped, 0 errors)
   Processed 24903 rows... (23800 imported, 1103 skipped, 0 errors)
   Processed 25000 rows... (23850 imported, 1105 skipped, 0 errors)
   Processed 25005 rows... (23900 imported, 1105 skipped, 0 errors)
   Processed 25105 rows... (24000 imported, 1105 skipped, 0 errors)
   Processed 25206 rows... (24100 imported, 1106 skipped, 0 errors)
   Processed 25328 rows... (24200 imported, 1128 skipped, 0 errors)
   Processed 25428 rows... (24300 imported, 1128 skipped, 0 errors)
   Processed 25528 rows... (24400 imported, 1128 skipped, 0 errors)
   Processed 25664 rows... (24500 imported, 1164 skipped, 0 errors)
   Processed 25764 rows... (24600 imported, 1164 skipped, 0 errors)
   Processed 25865 rows... (24700 imported, 1165 skipped, 0 errors)
   Processed 25965 rows... (24800 imported, 1165 skipped, 0 errors)
   Processed 26000 rows... (24800 imported, 1165 skipped, 0 errors)
   Processed 26065 rows... (24900 imported, 1165 skipped, 0 errors)
   Processed 26166 rows... (25000 imported, 1166 skipped, 0 errors)
   Processed 26266 rows... (25100 imported, 1166 skipped, 0 errors)
   Processed 26366 rows... (25200 imported, 1166 skipped, 0 errors)
   Processed 26466 rows... (25300 imported, 1166 skipped, 0 errors)
   Processed 26566 rows... (25400 imported, 1166 skipped, 0 errors)
   Processed 26666 rows... (25500 imported, 1166 skipped, 0 errors)
   Processed 26766 rows... (25600 imported, 1166 skipped, 0 errors)
   Processed 26866 rows... (25700 imported, 1166 skipped, 0 errors)
   Processed 26966 rows... (25800 imported, 1166 skipped, 0 errors)
   Processed 27000 rows... (25800 imported, 1166 skipped, 0 errors)
   Processed 27079 rows... (25900 imported, 1179 skipped, 0 errors)
   Processed 27179 rows... (26000 imported, 1179 skipped, 0 errors)
   Processed 27282 rows... (26100 imported, 1182 skipped, 0 errors)
   Processed 27383 rows... (26200 imported, 1183 skipped, 0 errors)
   Processed 27483 rows... (26300 imported, 1183 skipped, 0 errors)
   Processed 27583 rows... (26400 imported, 1183 skipped, 0 errors)
   Processed 27683 rows... (26500 imported, 1183 skipped, 0 errors)
   Processed 27783 rows... (26600 imported, 1183 skipped, 0 errors)
   Processed 27884 rows... (26700 imported, 1184 skipped, 0 errors)
   Processed 27985 rows... (26800 imported, 1185 skipped, 0 errors)
   Processed 28000 rows... (26800 imported, 1186 skipped, 0 errors)
   Processed 28087 rows... (26900 imported, 1187 skipped, 0 errors)
   Processed 28194 rows... (27000 imported, 1194 skipped, 0 errors)
   Processed 28295 rows... (27100 imported, 1195 skipped, 0 errors)
   Processed 28398 rows... (27200 imported, 1198 skipped, 0 errors)
   Processed 28509 rows... (27300 imported, 1209 skipped, 0 errors)
   Processed 28609 rows... (27400 imported, 1209 skipped, 0 errors)
   Processed 28709 rows... (27500 imported, 1209 skipped, 0 errors)
   Processed 28809 rows... (27600 imported, 1209 skipped, 0 errors)
   Processed 28915 rows... (27700 imported, 1215 skipped, 0 errors)
   Processed 29000 rows... (27750 imported, 1215 skipped, 0 errors)
   Processed 29015 rows... (27800 imported, 1215 skipped, 0 errors)
   Processed 29115 rows... (27900 imported, 1215 skipped, 0 errors)
   Processed 29220 rows... (28000 imported, 1220 skipped, 0 errors)
   Processed 29323 rows... (28100 imported, 1223 skipped, 0 errors)
   Processed 29425 rows... (28200 imported, 1225 skipped, 0 errors)
   Processed 29525 rows... (28300 imported, 1225 skipped, 0 errors)
   Processed 29629 rows... (28400 imported, 1229 skipped, 0 errors)
   Processed 29732 rows... (28500 imported, 1232 skipped, 0 errors)
   Processed 29835 rows... (28600 imported, 1235 skipped, 0 errors)
   Processed 29935 rows... (28700 imported, 1235 skipped, 0 errors)
   Processed 30000 rows... (28750 imported, 1235 skipped, 0 errors)
   Processed 30037 rows... (28800 imported, 1237 skipped, 0 errors)
   Processed 30145 rows... (28900 imported, 1245 skipped, 0 errors)
   Processed 30248 rows... (29000 imported, 1248 skipped, 0 errors)
   Processed 30352 rows... (29100 imported, 1252 skipped, 0 errors)
   Processed 30456 rows... (29200 imported, 1256 skipped, 0 errors)
   Processed 30556 rows... (29300 imported, 1256 skipped, 0 errors)
   Processed 30656 rows... (29400 imported, 1256 skipped, 0 errors)
   Processed 30756 rows... (29500 imported, 1256 skipped, 0 errors)
   Processed 30860 rows... (29600 imported, 1260 skipped, 0 errors)
   Processed 30960 rows... (29700 imported, 1260 skipped, 0 errors)
   Processed 31000 rows... (29700 imported, 1260 skipped, 0 errors)
   Processed 31060 rows... (29800 imported, 1260 skipped, 0 errors)
   Processed 31160 rows... (29900 imported, 1260 skipped, 0 errors)
   Processed 31262 rows... (30000 imported, 1262 skipped, 0 errors)
   Processed 31362 rows... (30100 imported, 1262 skipped, 0 errors)
   Processed 31462 rows... (30200 imported, 1262 skipped, 0 errors)
   Processed 31564 rows... (30300 imported, 1264 skipped, 0 errors)
   Processed 31665 rows... (30400 imported, 1265 skipped, 0 errors)
   Processed 31766 rows... (30500 imported, 1266 skipped, 0 errors)
   Processed 31866 rows... (30600 imported, 1266 skipped, 0 errors)
   Processed 31966 rows... (30700 imported, 1266 skipped, 0 errors)
   Processed 32000 rows... (30700 imported, 1266 skipped, 0 errors)
   Processed 32066 rows... (30800 imported, 1266 skipped, 0 errors)
   Processed 32169 rows... (30900 imported, 1269 skipped, 0 errors)
   Processed 32275 rows... (31000 imported, 1275 skipped, 0 errors)
   Processed 32375 rows... (31100 imported, 1275 skipped, 0 errors)
   Processed 32476 rows... (31200 imported, 1276 skipped, 0 errors)
   Processed 32578 rows... (31300 imported, 1278 skipped, 0 errors)
   Processed 32685 rows... (31400 imported, 1285 skipped, 0 errors)
   Processed 32787 rows... (31500 imported, 1287 skipped, 0 errors)
   Processed 32887 rows... (31600 imported, 1287 skipped, 0 errors)
   Processed 32988 rows... (31700 imported, 1288 skipped, 0 errors)
   Processed 33000 rows... (31700 imported, 1288 skipped, 0 errors)
   Processed 33088 rows... (31800 imported, 1288 skipped, 0 errors)
   Processed 33188 rows... (31900 imported, 1288 skipped, 0 errors)
   Processed 33288 rows... (32000 imported, 1288 skipped, 0 errors)
   Processed 33388 rows... (32100 imported, 1288 skipped, 0 errors)
   Processed 33488 rows... (32200 imported, 1288 skipped, 0 errors)
   Processed 33588 rows... (32300 imported, 1288 skipped, 0 errors)
   Processed 33692 rows... (32400 imported, 1292 skipped, 0 errors)
   Processed 33794 rows... (32500 imported, 1294 skipped, 0 errors)
   Processed 33894 rows... (32600 imported, 1294 skipped, 0 errors)
   Processed 34000 rows... (32700 imported, 1300 skipped, 0 errors)
   Processed 34000 rows... (32700 imported, 1300 skipped, 0 errors)
   Processed 34104 rows... (32800 imported, 1304 skipped, 0 errors)
   Processed 34204 rows... (32900 imported, 1304 skipped, 0 errors)
   Processed 34304 rows... (33000 imported, 1304 skipped, 0 errors)
   Processed 34410 rows... (33100 imported, 1310 skipped, 0 errors)
   Processed 34510 rows... (33200 imported, 1310 skipped, 0 errors)
   Processed 34616 rows... (33300 imported, 1316 skipped, 0 errors)
   Processed 34720 rows... (33400 imported, 1320 skipped, 0 errors)
   Processed 34822 rows... (33500 imported, 1322 skipped, 0 errors)
   Processed 34925 rows... (33600 imported, 1325 skipped, 0 errors)
   Processed 35000 rows... (33650 imported, 1325 skipped, 0 errors)
   Processed 35026 rows... (33700 imported, 1326 skipped, 0 errors)
   Processed 35135 rows... (33800 imported, 1335 skipped, 0 errors)
   Processed 35253 rows... (33900 imported, 1353 skipped, 0 errors)
   Processed 35353 rows... (34000 imported, 1353 skipped, 0 errors)
   Processed 35453 rows... (34100 imported, 1353 skipped, 0 errors)
   Processed 35553 rows... (34200 imported, 1353 skipped, 0 errors)
   Processed 35653 rows... (34300 imported, 1353 skipped, 0 errors)
   Processed 35756 rows... (34400 imported, 1356 skipped, 0 errors)
   Processed 35859 rows... (34500 imported, 1359 skipped, 0 errors)
   Processed 35959 rows... (34600 imported, 1359 skipped, 0 errors)
   Processed 36000 rows... (34600 imported, 1359 skipped, 0 errors)
   Processed 36059 rows... (34700 imported, 1359 skipped, 0 errors)
   Processed 36159 rows... (34800 imported, 1359 skipped, 0 errors)
   Processed 36259 rows... (34900 imported, 1359 skipped, 0 errors)
   Processed 36360 rows... (35000 imported, 1360 skipped, 0 errors)
   Processed 36462 rows... (35100 imported, 1362 skipped, 0 errors)
   Processed 36562 rows... (35200 imported, 1362 skipped, 0 errors)
   Processed 36662 rows... (35300 imported, 1362 skipped, 0 errors)
   Processed 36764 rows... (35400 imported, 1364 skipped, 0 errors)
   Processed 36865 rows... (35500 imported, 1365 skipped, 0 errors)
   Processed 36967 rows... (35600 imported, 1367 skipped, 0 errors)
   Processed 37000 rows... (35600 imported, 1367 skipped, 0 errors)
   Processed 37067 rows... (35700 imported, 1367 skipped, 0 errors)
   Processed 37168 rows... (35800 imported, 1368 skipped, 0 errors)
   Processed 37269 rows... (35900 imported, 1369 skipped, 0 errors)
   Processed 37372 rows... (36000 imported, 1372 skipped, 0 errors)
   Processed 37472 rows... (36100 imported, 1372 skipped, 0 errors)
   Processed 37575 rows... (36200 imported, 1375 skipped, 0 errors)
   Processed 37675 rows... (36300 imported, 1375 skipped, 0 errors)
   Processed 37775 rows... (36400 imported, 1375 skipped, 0 errors)
   Processed 37876 rows... (36500 imported, 1376 skipped, 0 errors)
   Processed 37976 rows... (36600 imported, 1376 skipped, 0 errors)
   Processed 38000 rows... (36600 imported, 1376 skipped, 0 errors)
   Processed 38077 rows... (36700 imported, 1377 skipped, 0 errors)
   Processed 38177 rows... (36800 imported, 1377 skipped, 0 errors)
   Processed 38285 rows... (36900 imported, 1385 skipped, 0 errors)
   Processed 38385 rows... (37000 imported, 1385 skipped, 0 errors)
   Processed 38485 rows... (37100 imported, 1385 skipped, 0 errors)
   Processed 38585 rows... (37200 imported, 1385 skipped, 0 errors)
   Processed 38686 rows... (37300 imported, 1386 skipped, 0 errors)
